小二:	!~没一个都没,,,
如梦人生:	!!  好出?
百撕不得骑姐:	!!好打得很.
百撕不得骑姐:	@骑马
如梦人生:	!!  哦
百撕不得骑姐:	!!我今天好几本都没捡
如梦人生:	@复活回城
老倪:	!!....
萌太奇:	!!
萌太奇:	!!大黄什么时候 修改？
百撕不得骑姐:	!!你的模式
如梦人生:	@攻击方式
紫霞:	!!1点
萌太奇:	!!接着打门票
紫霞:	!!你丫速度来
紫霞:	@休息
百撕不得骑姐:	!!给你一本风书
如梦人生:	!!  你知道洞口吧 你先进 进了喊我啊
百撕不得骑姐:	!!我有风书
如梦人生:	!!　你先进　进了喊我
如梦人生:	!!风整天?
百撕不得骑姐:	!!龙网
百撕不得骑姐:	!!龙风
如梦人生:	@休息
如梦人生:	!!  你知道洞口不
百撕不得骑姐:	!!没有了,打完就没有了,哪里的口进去都是一个地方
萌太奇:	!!拉人
如梦人生:	!!不是每层都有一个么
百撕不得骑姐:	!!不是的,都是一个地方
如梦人生:	!!哦　下面还有２个洞呢
如梦人生:	!!  回城 去下面的洞 我
百撕不得骑姐:	!!好
如梦人生:	!!　你知道洞口不
百撕不得骑姐:	!!不知道啊
百撕不得骑姐:	!!百度一下
如梦人生:	!!记得就是这附近
如梦人生:	@休息
如梦人生:	@休息
如梦人生:	@休息
如梦人生:	我百度吧
萌太奇:	@卡位自救
百撕不得骑姐:	!!不如打外面的.
百撕不得骑姐:	!!每层一个,加上比奇的一共12个
紫霞:	!!战士，丢点蓝
老倪:	毒
萌太奇:	!!分我  一只 别打
萌太奇:	!!一起大  我 总 MISS
如梦人生:	@骑马
百撕不得骑姐:	@骑马
百撕不得骑姐:	!!我打冰书去
如梦人生:	!!好
百撕不得骑姐:	!!打到冰月了
百撕不得骑姐:	!!马上有冰沙了
如梦人生:	!!  我也达到一本冰月
老倪:	毒
百撕不得骑姐:	!!我没想玩法师,好几本冰沙没捡
萌太奇:	!!我没药了
老倪:	红
萌太奇:	!!好困
老倪:	@日志2
紫霞:	!!再打一会儿就睡
如梦人生:	!!来下'
如梦人生:	@复活回城
紫霞:	!!看着点
老倪:	!!没药了
老倪:	!!回?
萌太奇:	!!大黄说没说  灭王要 怎么调整
萌太奇:	!!回吧
百撕不得骑姐:	!!
百撕不得骑姐:	!!这个爆得好
紫霞:	!!他加了百分之40的魔防
紫霞:	!!boss也加了
紫霞:	!!结果就打不动了
萌太奇:	!!什么意思
如梦人生:	!!  原来这里面不爆22的书啊
萌太奇:	!!给 守护神  灭王 都加40%?
紫霞:	!!西沙的怪全部加了百分之40
紫霞:	!!对
紫霞:	@骑马
萌太奇:	!!小怪 还是 能 飘绿啊
如梦人生:	!!  你也出来了
紫霞:	!!你看小二能飘不
百撕不得骑姐:	!!还是没有冰沙啊
萌太奇:	@骑马
紫霞:	!!小二都气死了
如梦人生:	!! 是啊  冰沙还得再外面打?
百撕不得骑姐:	!!哪里还有王打不
如梦人生:	!!  每层应该都有的
百撕不得骑姐:	!!比奇去不
老倪:	!!,,,,,
如梦人生:	!!　下面这个洞还有
紫霞:	!!老倪，杀魔神不
老倪:	!!可以
如梦人生:	!!  去[
紫霞:	!!我上你道士
百撕不得骑姐:	!!这个坐标多少
老倪:	/紫霞 你上吧
如梦人生:	196 315
梦如烟:	各位大哥大姐 赐点装备吧
百撕不得骑姐:	!!就在这边上了
老倪:	@骑马
9527:	/老倪 你飞
老倪:	/9527 到了叫你
9527:	/老倪 嗯哪
如梦人生:	不打了 出去打冰叔吧
9527:	@日志2
百撕不得骑姐:	圣言不要吗?
梦如烟:	@日志2
如梦人生:	后面也不缺啥书了
9527:	@日志2
百撕不得骑姐:	!!去哪打.
百撕不得骑姐:	!!比奇吧
百撕不得骑姐:	@骑马
如梦人生:	!!  行吧 你先去 我学技能'
百撕不得骑姐:	!!我先打外面的王
9527:	@骑马
老倪:	/9527 飞
老倪:	/9527 
百撕不得骑姐:	!!王在这里
老倪:	/9527 ?
老倪:	/ 
如梦人生:	!!
萌太奇:	!!我砍龙
9527:	!!ok
9527:	!!出个加元素的虎面头和稀世鞋子来
百撕不得骑姐:	!!一会去换声望
如梦人生:	你下线
9527:	!!一看到瞬息移动要练，我就蛋疼了
如梦人生:	/百撕不得骑姐 50级钱声望没用的
百撕不得骑姐:	!!我都快200了
百撕不得骑姐:	!!换了去,省得占格子
9527:	!!老倪，这道士应该弄防御和魔御装备
老倪:	/9527 嗯
萌太奇:	@骑马
9527:	!!鞋子怎么样的
百撕不得骑姐:	!!分开找王吧
萌太奇:	!!白的
9527:	!!纠结啊
如梦人生:	11
如梦人生:	!!
萌太奇:	!!卖商店 不纠结
9527:	!!别卖了。。。好东西啊
萌太奇:	!!已经卖了
萌太奇:	!!这 玩意 有什么好的
萌太奇:	!!白鞋子
9527:	!!你知道舒适能干吗么
萌太奇:	!!回血
9527:	!!嗯哪
9527:	出！！！！！！！！！！！！！！！！！！
9527:	!!我来打
9527:	!!你停手
9527:	!!蛋疼
9527:	!!这服boss都是山沟里刚出来的
萌太奇:	!!你的 扇子 谁出的
9527:	!!什么扇子
百撕不得骑姐:	!!王在这里
老倪:	!!昨天出了龙纹
萌太奇:	!!期望扇子
9527:	!!我出的
老倪:	@日志2
9527:	!!全是龙纹
萌太奇:	!!困了 
萌太奇:	!!我睡觉去
9527:	!!好的
萌太奇:	!!今天 不会重启把
9527:	!!会
9527:	!!大黄说他回家就重启
老倪:	!!服务器要更新吗?
9527:	!!要的
老倪:	那我们去打吗?
萌太奇:	!!妈的  大黄 啥时候回家啊
9527:	大黄还没回家呢
老倪:	!!我们去试试?
9527:	估计要很晚
老倪:	@骑马
萌太奇:	!!改好了 再打
9527:	!!嗯
老倪:	@日志2
9527:	!!现在没法打
百撕不得骑姐:	!!你去中间
9527:	!!打一下10点血
9527:	!!他回血回一下300
百撕不得骑姐:	!!王在这
如梦人生:	!!　你杀
老倪:	@日志2
百撕不得骑姐:	!!第二次打得好啊,移形,冰包
如梦人生:	!!
9527:	!!老倪，现在干嘛去
老倪:	@日志2
老倪:	!!开船跑船
9527:	!!几点
老倪:	!!不知道 你看看
老倪:	/紫霞 船马上开
老倪:	/9527 马上开
老倪:	/紫霞 马上开船
百撕不得骑姐:	!!又一本冰包
如梦人生:	异性 刚才失败了
如梦人生:	冰成功了的
紫霞:	!~你还在玩啊
如梦人生:	!!  我买药  不打尸王了 打打小怪
百撕不得骑姐:	!~打书了
紫霞:	!~厉害
如梦人生:	!! 要不直接去买本也行
如梦人生:	!!  我在这里能分到你的经验 我去
老倪:	/紫霞 走 记得接任务
紫霞:	/老倪 嗯哪
百撕不得骑姐:	!!睡觉前打不到就买吧.
百撕不得骑姐:	!!100好高的价啊,50个包子钱
老倪:	@包马
紫霞:	@骑马
老倪:	@骑马
百撕不得骑姐:	!!风真天学了没有
百撕不得骑姐:	!!打到冰了
如梦人生:	!!没
百撕不得骑姐:	!!我去写收
百撕不得骑姐:	@骑马
如梦人生:	!!  好
百撕不得骑姐:	!!来
如梦人生:	哪的?
百撕不得骑姐:	我打的啊
如梦人生:	我靠 
百撕不得骑姐:	刚打到,
如梦人生:	去牛 
百撕不得骑姐:	好
如梦人生:	我去买个马  带药太少了'
如梦人生:	@骑马
百撕不得骑姐:	!!省了100W
百撕不得骑姐:	!~我把书卖道官里面的书店了,没学的可以去看看
紫霞:	!~嗯哪
百撕不得骑姐:	!~都是王出的好书
紫霞:	有珠子不
百撕不得骑姐:	!~道士的好几本.
紫霞:	!~法师的呢
百撕不得骑姐:	@骑马
百撕不得骑姐:	!~法师有一本冰月和冰包
紫霞:	!~可以
百撕不得骑姐:	!~还有机风
百撕不得骑姐:	!!我困了, 我换了声望睡了
如梦人生:	!!  不去牛啊?
百撕不得骑姐:	!!明天吧,你先弄到30多再吧
百撕不得骑姐:	!!都1点多了,澡都没洗
如梦人生:	!!  我马上30了
百撕不得骑姐:	!!你先弄到拿血饮再说.
如梦人生:	!!哦  明天我经验低很多 我今天多练会 
如梦人生:	!!  我现在还是5倍经验哦
百撕不得骑姐:	!!都一样,
如梦人生:	!!  单杀僵尸 还是2600经验哦
百撕不得骑姐:	!!级别高了经验就少了
如梦人生:	!!  你呢
百撕不得骑姐:	!~我1200
如梦人生:	!!  这就对了
百撕不得骑姐:	!!1200-1400
如梦人生:	!!  我跟你一起1400左右  自己单杀 2600--3000
百撕不得骑姐:	!!我185的声望了
如梦人生:	!!  我的给你吧
百撕不得骑姐:	!!下了.
百撕不得骑姐:	不用了,我明天打几个就有了,
百撕不得骑姐:	多的给你
百撕不得骑姐:	我不要了
如梦人生:	200声望有啥用?
如梦人生:	@骑马
如梦人生:	@骑马
如梦人生:	我还是没买到马
如梦人生:	没找到卖马的人
百撕不得骑姐:	50级换加防和魔防的勋章
百撕不得骑姐:	笨,我带你去
如梦人生:	!!  就是了 50级还早 你帮我找下买马的人
百撕不得骑姐:	!!
百撕不得骑姐:	!!一直在这啊
百撕不得骑姐:	你怎么没发现
如梦人生:	!!我就看到租怪物的  晕
如梦人生:	!!  眼睛甩圈了
如梦人生:	!!  去扭动了
百撕不得骑姐:	!!我睡了,你慢慢玩吧
百撕不得骑姐:	@包马
百撕不得骑姐:	@骑马
如梦人生:	!!  哦  我晚上上得比较晚哦  一般9点过后来
百撕不得骑姐:	!~我自己砍了.
如梦人生:	@包马
百撕不得骑姐:	!~各位兄弟姐妹们晚安啦.
紫霞:	!~晚安哦
百撕不得骑姐:	!~明天见
如梦人生:	!~88
如梦人生:	!~  紫霞组我
紫霞:	@休息
老倪:	教主在里面
紫霞:	!~嗯哪
紫霞:	太小气了
老倪:	!!什么时候重启
紫霞:	!!要等他回来
老倪:	@骑马
紫霞:	@骑马
紫霞:	!!这期望逍遥扇练无极棍都不如呀
老倪:	/紫霞 嗯
紫霞:	!!你是法师？
如梦人生:	!!  是啊 
老倪:	@包马
老倪:	@包马
紫霞:	现在干嘛去
老倪:	!!等重启呗
紫霞:	!!我先到楼下买包烟哈
老倪:	!!嗯
如梦人生:	!!  我现在爱是6.5倍经验呢
老倪:	!!嗯 不错
如梦人生:	@骑马
紫霞:	/如梦人生 你多少级了
如梦人生:	/紫霞 31
紫霞:	/如梦人生 升级不是很快呀
如梦人生:	/紫霞 一直没冰书啊
紫霞:	/如梦人生 没冰沙掌?
如梦人生:	/紫霞 现在有了 冰了20分钟牛了都
紫霞:	/如梦人生 。。。
至尊宝:	@骑马
如梦人生:	@日志2
紫霞:	/如梦人生 过来
如梦人生:	?
如梦人生:	@包马
如梦人生:	3Q
至尊宝:	/如梦人生 咱们升级去
至尊宝:	@包马
如梦人生:	!! 走
至尊宝:	/如梦人生 你妹盾么
如梦人生:	有
紫霞:	@包马
至尊宝:	/如梦人生 走去小3
如梦人生:	/至尊宝 嗯
至尊宝:	@骑马
至尊宝:	/如梦人生 等有空去打钱
至尊宝:	/如梦人生 把寄售的破冰次买了
如梦人生:	!!寄售有?多少钱啊?
至尊宝:	/如梦人生 400W
至尊宝:	/如梦人生 不算贵
至尊宝:	/如梦人生 走，小三
如梦人生:	/至尊宝 哦   400W 好遥远哦
至尊宝:	/如梦人生 你去猪洞
至尊宝:	/如梦人生 一小时200W
至尊宝:	/如梦人生 走，小三
至尊宝:	/如梦人生 我到了
如梦人生:	/至尊宝 马上
如梦人生:	你多少经验一个?
如梦人生:	单杀
至尊宝:	不记得了。。。
至尊宝:	@复活回城
如梦人生:	刚好能拿血饮
如梦人生:	帮我带点太阳水啊
至尊宝:	来
